Date,Open,High,Low,Close,Volume
2020-01-03,71.56320547713457,72.38925722098051,71.40666619485818,71.6306381225586,146322800
2020-01-06,70.7539985575802,72.23992710936326,70.50353134989086,72.2013931274414,118387200
2020-01-07,72.2110641639823,72.46634548952974,71.64270418623039,71.86186218261719,108872000
2020-01-08,71.56562867701548,73.31888511458335,71.56562867701548,73.0178451538086,132079200
2020-01-09,73.99320238999518,74.76145686133366,73.74274246581768,74.56879425048828,170108400
2020-01-10,74.8024026801614,75.30092656417412,74.23644614635045,74.73737335205078,140644800
2020-01-13,75.05288582822318,76.36060178633993,74.93487315391599,76.3341064453125,121532000
2020-01-14,76.2714631183451,76.48098568839895,75.18049494182533,75.30331420898438,161954400
2020-01-15,75.10344798902688,75.98248317068368,74.54953007278792,74.98062133789062,121923600
2020-01-16,75.52248200660513,76.03064118697364,75.16123412136378,75.91985321044922,108829200
2020-01-17,76.16791647174253,76.76277166888072,75.86206254796348,76.76036834716797,137816400
2020-01-21,76.3894803308505,76.83019952815127,76.10288974668396,76.24016571044922,110843200
2020-01-22,76.72420918407077,77.0637829818035,76.41835537387128,76.51228332519531,101832400
2020-01-23,76.56530142477,76.96026202494508,76.01860816134078,76.88079071044922,104472000
2020-01-24,77.12642473209515,77.86818383448923,76.46895092458591,76.65921020507812,146537600
2020-01-27,74.67234921705278,75.08416976822737,73.42484155700832,74.405029296875,161940000
2020-01-28,75.28408422213496,76.68090687398296,75.18534222076916,76.50991821289062,162234000
2020-01-29,78.13793027321145,78.95675744540253,77.39857441186852,78.11143493652344,216229200
2020-01-30,77.19626294921763,78.05121329496869,76.76517176985938,77.99822998046875,126743200
2020-01-31,77.29020649112265,77.71166246110458,74.24609404973549,74.53990936279297,199588400
2020-02-03,73.28516622775322,75.49841264105945,72.7842389592195,74.33519744873047,173788400
2020-02-04,75.9367288800473,76.97953543976107,75.53213292898627,76.78927612304688,136616400
2020-02-05,77.91396003658885,78.21259669148851,76.81336346644713,77.41544342041016,118826800
2020-02-06,77.68516086755363,78.3233640404218,77.12883967256218,78.32095336914062,105425600
2020-02-07,77.82123854389138,78.06988383321008,76.76630651671353,77.25635528564453,117684000
2020-02-10,75.8441484328751,77.623291015625,75.7644885208781,77.623291015625,109348800
2020-02-11,78.11818095050265,78.19059906005786,76.9377141953968,77.15497589111328,94323200
2020-02-12,77.60398368209574,78.9920538114317,77.60398368209574,78.98722839355469,113730400
2020-02-13,78.26060628866534,78.7506551305069,78.05782821966719,78.42475891113281,94747600
2020-02-14,78.39335362136931,78.69269890753361,77.93710493391231,78.44405364990234,80113600
2020-02-18,76.12902370501065,77.18878887738555,75.94797103367979,77.00773620605469,152531200
2020-02-19,77.24912158938099,78.35233737517142,77.24912158938099,78.12300109863281,93984000
2020-02-20,77.88399976313329,78.37163210197758,76.81699322453267,77.32152557373047,100566000
2020-02-21,76.91597690115918,77.35774940247184,74.95578178960817,75.57135772705078,129554000
2020-02-24,71.75960237227564,73.43011036441114,69.82113268068633,71.981689453125,222195200
2020-02-25,72.65038734565039,73.03180163978591,69.07278565467855,69.54351806640625,230673600
2020-02-26,69.16936277352076,71.9092946933909,69.16212096129591,70.6467514038086,198054800
2020-02-27,67.85853712666133,69.04141300899963,65.89350875868202,66.02869415283203,320605600
2020-02-28,62.10346834390764,67.20915102510166,61.88861568726967,65.99005889892578,426510000
2020-03-02,68.14338175177791,72.76867383608672,67.04258234775999,72.13378143310547,341397200
2020-03-03,73.30702283331924,73.3866827671886,68.99313499680584,69.84288024902344,319475600
2020-03-04,71.56164999828624,73.24181619852034,70.76260504877715,73.08248901367188,219178400
2020-03-05,71.33954955045269,72.31240522279981,70.34738484234605,70.71190643310547,187572800
2020-03-06,68.07579869358199,70.20497969740977,67.88992061879122,69.77286529541016,226176800
2020-03-09,63.67016438238683,67.13188921300795,63.48911178224734,64.25436401367188,286744800
2020-03-10,66.9025682079639,69.14761776690831,65.02685833500999,68.88207244873047,285290000
2020-03-11,66.96293286366341,67.8875051992336,65.62796418784407,66.48977661132812,255598800
2020-03-12,61.7848142766757,65.17894700154001,59.86806983845157,59.92359161376953,418474000
